Salutation,awardeeDetail/affiliationOf/initials,awardeeDetail/affiliationOf/givenName,awardeeDetail/affiliationOf/familyName,awardeeDetail/affiliationOf/name,awardeeDetail/affiliationOf/identifier/id/orcid,Funder,PubMed Search Term,title ,Grant ID,Old Grant ID,fundingDetail/fundingTotal/currency,fundingDetail/fundingTotal/amount,Grant Stream,grantType,startDate,endDate,Lay Abstract,synopsis,awardeeDetail/name,awardeeDetail/departmentName,createdOn,awardeeDetail/affiliationOf/role,awardeeDetail/role,awardee/country,funding/country,licenceInformation/value,licenceInformation/link,fundingBodyAwardId
Dr,,Francesco,D'Aiuto,,,Diabetes UK,Diabetes UK,Treatment of periodonitis and metabolic control in people with Type 2 diabetes,08/0003594,,GBP,225000,,RESEARCH,01-11-2008,30-04-2014,,"Type 2 Diabetes (T2DM) and Periodontitis (PD) are two of the most common chronic diseases worldwide. Diabetes is a recognized risk factor for PD but there may also be a reverse relationship between these 2 diseases via common inflammatory mechanisms. Indeed severe forms of PD have been associated with worse metabolic control in subjects with T2DM. However little evidence is available on the potential benefit of PD therapy on metabolic control in T2DM. We hypothesise that effective PD treatment will improve metabolic control in T2DM. We plan to perform a single-blind 12 months randomized controlled clinical trial of 280 individuals suffering from T2DM and moderate to severe PD. After a baseline assessment including medical and oral measures, subjects will be randomized in a 1:1 ratio to either an intensive (sub-gingival dental cleaning and minor gum surgery) or standard (repetitive supra-gingival dental cleaning) PD therapy groups and followed up to 12 months. HbA1c changes between study groups after 12 months is the primary outcome of the study. Changes in insulin concentration and sensitivity, inflammatory markers, lipids/diet and vascular function will also be assessed at 12 months between study groups as secondary outcomes.",University College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy1,NOT FOUND
Professor,,Anne,Cooke,,,Diabetes UK,Diabetes UK,Labeling of islets for non-invasive and longitudinal imaging in pre-diabetic or diabetic NOD mice,13/0004785,,GBP,14775,,RESEARCH,01-10-2013,31-03-2014,,"Type 1 diabetes is an inflammatory disease caused by the autoimmune destruction of beta cells in the islets of Langerhans. Our laboratory has studied the mechanisms of disease for many years with the objective to identify therapies that can stop or decrease islet destruction. We are now in the process of developing a method for non-invasive in vivo imaging of islets transplanted into the pinna of the ear which so far has given very good results. In this proposal to Diabetes UK we ask for funds to extend these studies into NOD mice, which is a mouse strain that develops diabetes spontaneously, but in which there are no available suitable transgenic mice with fluorescent islets to facilitate imaging. We ask for funding to develop a protocol for labelling of NOD islets for future use in studies of proposed therapies for type 1 diabetes.",University of Cambridge,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy2,NOT FOUND
Professor,,Hari,Hundal,,,Diabetes UK,Diabetes UK,"The role of GM3, a glycosphingolipid, as a modulator of skeletal muscle insulin sensitivity",10/0004146,,GBP,84431,,SCHOLARSHIP,01-10-2011,30-09-2014,,"Skeletal muscle insulin sensitivity is inversely correlated with intramyocellular accumulation of fatty acid-derived lipids such as ceramide and DAG, which impair post-receptor insulin signalling events. However, there is also mounting evidence to support an important role for plasma membrane glycosphingolipids, in particular GM3, in the pathogenesis of insulin resistance. GM3 has been suggested to associate with and negatively regulate insulin-receptor activity by promoting segregation of receptors to GM3-enriched membrane microdomains. GM3 can be synthesised from ceramide in response to saturated fatty acids (e.g. palmitate) and TNF?, which may also orchestrate changes in the expression of proteins regulating synthesis (GM3 synthase) and breakdown (NEU3) of GM3. Enhanced PKC/ERK/CREB signalling has been suggested to promote GM3 synthase expression in non-muscle cells, but we find that this pathway is also activated in muscle cells in response to palmitate and that this is antagonised by AMPK activators. The work described herein aims to: (i) define the signalling mechanisms regulating GM3 turnover in muscle cells in response to palmitate and TNF?, (ii) establish how GM3 promotes dysregulation of proteins involved in insulin signalling and (iii) assess whether pharmacological antagonism of glycosphingolipid metabolism enhances insulin sensitivity of cultured myotubes and skeletal muscle of obese rodents.",University of Dundee,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy3,NOT FOUND
Professor,,Hari,Hundal,,,Diabetes UK,Diabetes UK,"GPR55, a novel modulator of insulin sensitivity and energy metabolism in skeletal muscle",12/0004527,,GBP,182491,,RESEARCH,01-01-2013,31-12-2015,,"The mechanisms underlying pathophysiology of insulin resistance and diabetes mellitus are not completely understood. Recent studies, however, have provided emerging evidence that the G-protein coupled receptor GPR55 may have a role in energy homeostasis. Building on this idea, we have made several novel observations which, for the first time, implicate this receptor in modulating key metabolic pathways within skeletal muscle - a major site of glucose utilisation and storage. Firstly, we have discovered that ligand-induced activation of GPR55 significantly improves insulin sensitivity in cultured skeletal muscle cells. In addition, treatment with GPR55 agonists increases the activity and/or expression of proteins (AMPK, CREB and PGC-1?) involved in promoting mitochondrial biogenesis and function. Furthermore, we have uncovered potential GPR55-mediated regulation of the endocannabinoid system. Endocannabinoids are arachidonic acid-derived lipids which have been implicated in energy balance and metabolism. Interestingly, we observe altered expression of genes which function in the synthesis and/or degradation of endocannabinoids in response to known GPR55 agonists. Importantly, based on these observations, we anticipate that GPR55 activation would result in suppressed endocannabinoid tone thereby potentially improving metabolic status. Therefore, our aim is to understand, both mechanistically and functionally, how direct modulation of GPR55 impacts upon skeletal muscle metabolic capacity.",University of Dundee,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy4,NOT FOUND
Professor,,Hari,Hundal,,,Diabetes UK,Diabetes UK,The role of the proinflammatory ERK-NFkappaB signalling axis in fatty acid-induced insulin resistance and its counter modulation by AMPK,10/0004045,,GBP,168216,,RESEARCH,01-11-2010,30-10-2013,,"There is mounting evidence linking inflammatory signalling to the development and progression of insulin resistance in tissues such as skeletal muscle. This inflammatory response involves activation of the canonical proinflammatory NF-?B pathway, which can be triggered by an increase in circulating saturated free fatty acids (e.g. palmitate) as occurs during obesity or in response to high dietary fat intake. Whilst it is well established that NF-?B induces expression of proinflammatory cytokines (e.g. IL-6 and TNF?? implicated in the pathogenesis of insulin resistance, what has remained unclear is how the NF-?B pathway is activated by palmitate. Interestingly, the palmitate-induced proinflammatory response is antagonised by unsaturated fatty acids and by pharmacological inhibition or activation of ERK and AMPK, respectively. These observations imply that ERK is a component of the fatty acid-induced inflammatory response, whereas AMPK and unsaturated fatty acids exert anti-inflammatory effects that could be exploited to preserve skeletal muscle insulin sensitivity. The work described herein aims to (i) define how palmitate promotes NF?B signalling via ERK in skeletal muscle cells and the impact this has on processes influencing insulin action and metabolic capacity and (ii) determine, at the molecular level, the anti-inflammatory mechanism by which AMPK opposes palmitate-induced NF?B signalling.",University of Dundee,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy5,NOT FOUND
,,Graham,Rena,,,Diabetes UK,Diabetes UK,Why does glucophage (metformin) help some people with diabetes?,12/0004625,,GBP,87909,,SCHOLARSHIP,01-10-2013,30-09-2016,,"Much current research is focused on insulin resistance and how it might be reversed where current treatments are ineffective. The best treatment for insulin-resistant T2D is metformin but the target of this drug is still unclear, hampering development of improved agents to replace metformin, which is not effective in all T2DM and loses potency with prolonged use. Previously, we have investigated how metal ions modify the activity of drugs. Copper interaction with biguanides such as metformin has been known for over a century and in our preliminary studies we have gathered strong evidence that copper is required for specific cellular actions of metformin linked to its beneficial clinical effects. In the current study we will elucidate the precise role of copper in metformin action using unique chemical tools and a variety of techniques including western blotting, gene expression analysis, microscopy and animal studies. This research will establish which effects of metformin are copper-dependent, and of these which are sensitive to specific modes of interaction with the metal. This fundamental understanding will provide the platform to enable future testing of compounds that interact with copper for beneficial effects on glucose metabolism and development of the complications of T2DM",University of Dundee,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy6,NOT FOUND
Professor,,Tricia,Cohen,,,Diabetes UK,Diabetes UK,Investigation of an AMPK phosphatase,11/0004236,,GBP,201975,,RESEARCH,01-06-2011,31-05-2014,,"Metformin inhibits mitochondrial complex 1, which causes an increase in the cellular AMP/ATP ratio. The increase in AMP activates AMPK by promoting net phosphorylation on Thr172 of the AMPK ??subunit mediated via the kinases LKB1 and CaMKK?. Activation of AMPK, which switches on energy consuming and turns off energy promoting pathways, is believed to underlie the main beneficial effects of metformin. A protein phosphatase, Ppm1E, which dephosphorylates AMPK?-Thr172 in cell cultures, has recently been identified in my laboratory. Since inhibition of AMPK?-Thr172 dephosphorylation would lead to phosphorylation and activation of AMPK, an inhibitor of Ppm1E is likely to be beneficial for the treatment of diabetes. The project aims to examine whether Ppm1E dephosphorylates AMPK?-Thr172 in an in vivo mouse model. Part of the single mouse gene encoding Ppm1E will be replaced in mouse embryonic stems cells, so that an inactive Ppm1E is synthesized. Mice derived from these stem cells will be examined phenotypically and biochemically for the expression of inactive Ppm1E, the phosphorylation and activation of AMPK in several tissues and other parameters that are relevant to diabetes. A screen for a small molecule that could form the basis for development of a specific inhibitor of Ppm1E will be performed.",University of Dundee,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy7,NOT FOUND
Dr,,Janaka,Karalliedde,,0000-0002-2617-8320,Diabetes UK,Diabetes UK,Effect of active vitamin D treatment on arterial stiffness and albuminuria in patients with Type 2 diabetes and stage 3 chronic kidney disease,09/0003886,,GBP,297064,,RESEARCH,01-05-2010,31-12-2014,,"Dr Karalliedde will lead a clinical trial to better understand the effects of vitamin D supplements, in addition to existing treatments, on chronic kidney disease and cardiovascular disease in people with Type 2 diabetes.",King's College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy8,NOT FOUND
Dr,,Therese,Tillin,,,Diabetes UK,Diabetes UK,"Metabolomic profiling to improve characterisation of the risks of diabetes and cardiovascular disease in British Europeans, South Asians and African Caribbeans.",13/0004774,,GBP,92615,,RESEARCH,01-08-2013,30-04-2014,,"The escalating global burden of type 2 diabetes falls disproportionately upon people of South Asian and African Caribbean origins. Causal mechanisms underlying progression to type 2 diabetes remain inadequately understood in all populations, as do , in particular, mechanisms underpinning ethnic differences in diabetes. Emerging technologies, such as proton nuclear magnetic resonance (NMR) spectroscopy, allow the high-throughput profiling and quantifying of metabolites (metabolomics), enabling a comprehensive, efficient and highly cost-effective assessment of complex metabolic networks. We will analyse 3035 stored baseline (1988-91) blood samples from a west London community-based prospective cohort of European, South Asian and African Caribbeans aged 40-69 (the SABRE Study). Baseline measurements included fasting and post-glucose challenge bloods, detailed anthropometry and health/lifestyle questionnaire. Incident diabetes, cardiovascular disease and other morbidities over the ensuing 20 years have been recorded via medical record review, participant questionnaire, clinical follow-up and mortality flagging. We will use NMR spectroscopy to identify >100 low molecular weight metabolites and lipoprotein subclasses and >100 derived variables. We will examine and compare metabolites in each ethnic group across the range of glucose tolerance at baseline and identify key metabolites and profiles which predict onset of diabetes and cardiovascular disease during the 20 year follow-up.",Imperial College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy9,NOT FOUND
Professor,,Rory,McCrimmon,,,Diabetes UK,Diabetes UK,Interleukin 6 and hypoglycaemia tolerance in diabetes,12/0004531,,GBP,240932,,RESEARCH,01-07-2013,30-06-2016,,"Impaired awareness of hypoglycaemia (IHA) affects up to 20-25% of people with type 1 and increases risk of severe hypoglycaemia markedly. A major risk factor for IHA is repeated exposure to hypoglycaemia. There are many parallels between how the body responds to repeated hypoglycaemia and a stress response called pre-conditioning. Pre-conditioning is induced when a non-damaging stressful stimulus is presented to cells to promote a transient adaptive response so that injury resulting from subsequent exposure to the harmful stimulus is reduced. Hypoglycaemia has all the characteristic features of a preconditioning response in that the depth, duration, and frequency of antecedent hypoglycaemia correlated with the magnitude of the ensuing counterregulatory deficit, and the defect resolves with hypoglycaemia avoidance. Preliminary data suggest that the cytokine, interleukin-6 (Il-6), may be central to hypoglycaemic pre-conditioning. Pre-exposure of hypothalamic glucosensing neurons to Il-6 increased their threshold for electrical silencing, while pre-exposure of hypothalamic slice preparations to Il-6 significantly reduces their sensitivity to low glucose. The objective of the current proposal is to build on these exciting new data and to determine whether Il-6 plays an important role in the modulation of whole body responses to hypoglycaemia as well as the adaptation to repeated hypoglycaemia.",University of Dundee,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy10,NOT FOUND
